ID,Title,Skills Acquired,Prob Skills Acquired,Skills Required,Prob Skills Required,Money,Hours dedicated,Topics,URL
sac2,SAP Analytics Cloud – Authentication and Data Connectivity,"Business intelligence and data analysis software;;Analyse budgetary, accounting or business data;;Develop data analysis or data management procedures;;Database reporting software",0.555;;0.484;;0.481;;0.481,,,,12,,https://open.sap.com/courses/sac2
aie1-tl,Creating Trustworthy and Ethical Artificial Intelligence,"Evaluate training programs, instructors or materials",0.465,,,,16,,https://open.sap.com/courses/aie1-tl
byd7,Built-In Analytics in SAP Business ByDesign,"Business intelligence and data analysis software;;Prepare analytical reports;;Analyse data to inform operational decisions or activities;;Analyse budgetary, accounting or business data;;Develop data analysis or data management procedures;;Analyse business or financial data;;Analyse operational or research data;;Analyse market or customer related data;;Analyse market research data;;Calculate data to inform organisational operations;;Collect data about customer needs;;Analytical and scientific software;;Sales and marketing software;;Financial analysis software;;Prepare operational reports;;Enterprise resource planning ERP software;;Analyse operational data;;Prepare technical or operational reports;;Analyse data to assess operational or project effectiveness;;Database reporting software;;Develop financial analysis methods;;Monitor business indicators;;Present business-related information;;Prepare data for analysis;;Analyse data to identify or resolve operational problems;;Prepare technical reports for internal use;;Gather organisational performance information;;Apply information technology to solve business or other applied problems;;Write operational reports;;Analyse financial information;;Develop tools to diagnose or assess needs;;Interpret research or operational data;;Analyse website or related online data to track trends or usage;;Develop procedures for data management;;Gather information in order to provide services to clients",0.640;;0.599;;0.591;;0.573;;0.562;;0.553;;0.535;;0.532;;0.530;;0.524;;0.497;;0.497;;0.495;;0.494;;0.494;;0.492;;0.492;;0.490;;0.489;;0.488;;0.481;;0.472;;0.472;;0.471;;0.466;;0.464;;0.463;;0.463;;0.463;;0.456;;0.455;;0.454;;0.454;;0.453;;0.451,,,,20,,https://open.sap.com/courses/byd7
ut1-2,Basics of Design Testing (Edition Q2/2019),"Evaluate training programs, instructors or materials;;Develop training materials;;Develop instructional materials;;Document design or operational test results;;Develop testing routines or procedures;;Evaluate designs or specifications to ensure quality;;Interpret design or operational test results;;Teach online courses;;Devise research or testing protocols;;Create technology-based learning materials;;Test products for functionality or quality;;Create models of engineering designs or methods;;Evaluate project designs to determine adequacy or feasibility;;Construct patterns, templates or other work aids;;Evaluate reports or designs to determine work needs",0.540;;0.524;;0.523;;0.516;;0.514;;0.491;;0.488;;0.484;;0.477;;0.463;;0.459;;0.455;;0.455;;0.453;;0.451,,,,5,,https://open.sap.com/courses/ut1-2
ko1-tl,Design Thinking and Challenge Management,"Evaluate training programs, instructors or materials;;Direct design or development activities;;Develop training materials;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Collaborate with others to develop or refine designs;;Coordinate design activities",0.501;;0.492;;0.477;;0.475;;0.456;;0.455,,,,16,,https://open.sap.com/courses/ko1-tl
ui52,Evolved Web Apps with SAPUI5,,,,,,28,,https://open.sap.com/courses/ui52
dafie1,Design-Led Approach for the Intelligent Enterprise,"Direct design or development activities;;Develop training materials;;Enterprise application integration software;;Develop instructional materials;;Design integrated computer systems;;Evaluate training programs, instructors or materials",0.530;;0.481;;0.465;;0.463;;0.458;;0.456,,,,20,,https://open.sap.com/courses/dafie1
pa1-tl,People Analytics and Evidence-Based Management  ,"Human resources software;;Advise others on human resources topics;;Perform human resources activities;;Analyse data to inform staffing decisions;;Analyse jobs using observation, survey or interview techniques;;Conduct surveys in organisations;;Manage human resources activities;;Investigate personal characteristics or activities of individuals;;Collect information from people through observation, interviews or surveys;;Analyse data to inform operational decisions or activities;;Evaluate performance of applicants, trainees or employees;;Evaluate applicable laws and regulations to determine impact on organisational activities",0.586;;0.559;;0.541;;0.529;;0.523;;0.501;;0.498;;0.492;;0.471;;0.469;;0.464;;0.458,,,,12,,https://open.sap.com/courses/pa1-tl
s4h11-1,System Conversion to SAP S/4HANA (Repeat),"Business intelligence and data analysis software;;Develop guidelines for system implementation;;Plan production or operational procedures or sequences;;Direct organisational operations, projects or services;;Coordinate activities with suppliers, contractors, clients, or other departments;;Sales and marketing software",0.546;;0.496;;0.464;;0.460;;0.459;;0.457,,,,16,,https://open.sap.com/courses/s4h11-1
c4h4,SAP Sales Cloud – An Overview,"Customer relationship management CRM software;;Sales and marketing software;;Direct sales, marketing or customer service activities;;Identify potential customers;;Collect data about customer needs;;Train sales staff;;Develop content for sales presentations or other materials;;Answer customer questions about goods or services;;Gather information in order to provide services to clients;;Gather customer or product information to determine customer needs;;Provide customers with general information or assistance;;Perform marketing activities;;Customise financial goods or services to meet customer needs;;Train customers in the use of products;;Financial and commodities services software;;Advise customers on the use of goods or services",0.585;;0.578;;0.514;;0.498;;0.496;;0.477;;0.473;;0.466;;0.466;;0.465;;0.464;;0.461;;0.460;;0.453;;0.452;;0.451,,,,16,,https://open.sap.com/courses/c4h4
c4h1,Reimagine Customer Experience with SAP C/4HANA*,Customer relationship management CRM software;;Train customers in the use of products;;Collect data about customer needs;;Sales and marketing software,0.481;;0.474;;0.469;;0.462,,,,18,,https://open.sap.com/courses/c4h1
hana7,Software Development on SAP HANA (Update Q1/2019) ,,,,,,15,,https://open.sap.com/courses/hana7
sewf1-tl,How Social Enterprises Enhance Corporate Supply Chains,"Present sustainable goods or services information to the public;;Develop sustainable organisational policies or practices;;Promote environmental sustainability or conservation initiatives;;Promote products, activities, or organisations;;Promote goods, services, or programs;;Identify opportunities for green initiatives",0.530;;0.513;;0.466;;0.464;;0.462;;0.461,,,,16,,https://open.sap.com/courses/sewf1-tl
s4h13,Create and Deliver Cloud-Native SAP S/4HANA Extensions,Enterprise resource planning ERP software;;Enterprise application integration software,0.484;;0.451,,,,16,,https://open.sap.com/courses/s4h13
bw4h2,Modern Data Warehousing with SAP BW/4HANA,Business intelligence and data analysis software,0.494,,,,32,,https://open.sap.com/courses/bw4h2
srm2,Procurement Innovation – SAP Ariba and S/4HANA in a Nutshell,"Coordinate resource procurement activities;;Direct organisational operations, projects or services",0.537;;0.489,,,,30,,https://open.sap.com/courses/srm2
cwr1-1,Copywriting: Improve User Experience One Word at a Time (Repeat),"Write reports or evaluations;;Document design or development procedures;;Develop training materials;;Develop content for sales presentations or other materials;;Develop instructional materials;;Evaluate training programs, instructors or materials;;Document technical design details;;Document design or operational test results;;Prepare scientific or technical reports or presentations;;Computer based training software",0.549;;0.539;;0.523;;0.514;;0.501;;0.482;;0.476;;0.470;;0.460;;0.459,,,,6,,https://open.sap.com/courses/cwr1-1
dfnd1-6,Software Design for Non-Designers (Edition Q4/2018),"Software development and programming languages;;Design structures or facilities;;Develop artistic or design concepts for decoration, exhibition or commercial purposes;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Analyse design requirements for computer or electronics systems;;Develop software applications;;Direct design or development activities;;Create models of engineering designs or methods;;Design civil structures or systems;;Document technical design details;;Design integrated computer systems;;Explain engineering drawings, specifications or other technical information;;Research human performance or health factors related to engineering or design activities;;Evaluate project designs to determine adequacy or feasibility;;Design templates or patterns;;Plan facility layouts or designs;;Develop diagrams or flow charts of system operation;;Design electronic or computer equipment or instrumentation;;Create technology-based learning materials",0.576;;0.524;;0.522;;0.510;;0.509;;0.508;;0.491;;0.484;;0.479;;0.470;;0.463;;0.462;;0.461;;0.460;;0.459;;0.459;;0.459;;0.452;;0.451,,,,24,,https://open.sap.com/courses/dfnd1-6
s4h9,Two-Tier ERP with SAP S/4HANA Cloud,Enterprise resource planning ERP software;;Business intelligence and data analysis software;;Enterprise system management software;;Enterprise application integration software;;Prepare analytical reports,0.563;;0.513;;0.495;;0.466;;0.458,,,,16,,https://open.sap.com/courses/s4h9
byd6,SAP Business ByDesign Customer Relationship Management,"Customer relationship management CRM software;;Sales and marketing software;;Enterprise resource planning ERP software;;Prepare sales or other contracts;;Establish business management methods;;Business intelligence and data analysis software;;Prepare instruction manuals;;Develop training materials;;Develop operating strategies, plans or procedures;;Direct organisational operations, projects or services;;Develop instructional materials;;Develop diagrams or flow charts of system operation;;Operate computer systems;;Customise financial goods or services to meet customer needs;;Financial and commodities services software;;Direct sales, marketing or customer service activities;;Develop content for sales presentations or other materials;;Enterprise system management software;;Gather information in order to provide services to clients;;Coordinate logistics or other business operations;;Develop models of information or communications systems;;Maintain knowledge of business operations;;Communicate with clients about products, procedures and policies;;Enter commands, instructions, or specifications into equipment;;Enter information into databases or software programs;;Advise customers on the use of goods or services;;Train others in computer interface or software use;;Install instrumentation or electronic equipment or systems;;Execute sales or other financial transactions;;Perform marketing activities;;Confer with customers or designers to determine order specifications;;Develop guidelines for system implementation;;Collect data about customer needs;;Coordinate activities with suppliers, contractors, clients, or other departments;;Create technology-based learning materials",0.589;;0.589;;0.527;;0.521;;0.521;;0.511;;0.506;;0.502;;0.500;;0.496;;0.495;;0.490;;0.483;;0.481;;0.480;;0.479;;0.474;;0.473;;0.469;;0.468;;0.468;;0.468;;0.463;;0.463;;0.461;;0.461;;0.461;;0.460;;0.460;;0.458;;0.458;;0.458;;0.455;;0.453;;0.450,,,,20,,https://open.sap.com/courses/byd6
sps4,Building Mobile Applications with SAP Screen Personas,"Enterprise resource planning ERP software;;Financial and commodities services software;;Business intelligence and data analysis software;;Sales and marketing software;;Evaluate training programs, instructors or materials",0.482;;0.480;;0.474;;0.471;;0.464,,,,12,,https://open.sap.com/courses/sps4
plc1,Freedom to Calculate with SAP Product Lifecycle Costing,"Estimate costs of goods, services or materials;;Estimate costs or terms of sales;;Cost modelling software;;Estimate costs of goods or services;;Estimate operational costs;;Estimate cost or material requirements;;Assess the cost effectiveness of products, projects or services;;Estimate costs for projects or productions;;Estimate costs for labour or materials;;Estimate material requirements for production;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Calculate costs of goods or services;;Estimate technical or resource requirements for development or production projects;;Prepare instruction manuals;;Estimate materials requirements for projects;;Sales and marketing software",0.608;;0.586;;0.575;;0.570;;0.561;;0.558;;0.548;;0.535;;0.519;;0.506;;0.494;;0.492;;0.489;;0.473;;0.462;;0.452,,,,16,,https://open.sap.com/courses/plc1
ima1-tl,Improving Confidence in Sustainability Performance Data,"Develop sustainable organisational policies or practices;;Develop environmental sustainability plans or projects;;Evaluate environmental or sustainability projects;;Present sustainable goods or services information to the public;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Manage environmental sustainability projects;;Develop operating strategies, plans or procedures for green or sustainable operations;;Research issues related to the environment or sustainable business practices;;Promote environmental sustainability or conservation initiatives;;Develop sustainable industrial or development methods;;Prepare reports related to compliance matters;;Analyse financial records or reports to determine state of operations;;Identify opportunities for green initiatives;;Manage financial activities of the organisations;;Prepare operational reports;;Evaluate environmental impact of operational or development activities;;Evaluate green operations or programs for compliance with standards or regulations;;Prepare technical or operational reports;;Manage control system activities in organisations;;Prepare operational budgets;;Monitor organisational procedures to ensure proper functioning;;Monitor environmental impacts of production or development activities;;Write operational reports;;Establish operational policies;;Monitor operational activities to ensure compliance with regulations or standard operating procedures",0.605;;0.531;;0.523;;0.521;;0.521;;0.521;;0.520;;0.514;;0.510;;0.499;;0.498;;0.494;;0.490;;0.488;;0.484;;0.479;;0.470;;0.470;;0.469;;0.466;;0.463;;0.463;;0.461;;0.457;;0.452,,,,16,,https://open.sap.com/courses/ima1-tl
java1,Object-Oriented Programming in Java,Software development and programming languages;;Develop instructional objectives;;Computer based training software;;Develop instructional materials;;Install computer software;;Develop training materials;;Teach online courses,0.566;;0.528;;0.527;;0.519;;0.479;;0.462;;0.457,,,,36,,https://open.sap.com/courses/java1
hsgra1,Analyzing Connected Data with SAP HANA Graph,Business intelligence and data analysis software,0.462,,,,20,,https://open.sap.com/courses/hsgra1
srm1-1,Procurement Transformation with SAP Ariba and SAP S/4HANA (Repeat),"Coordinate resource procurement activities;;Direct organisational operations, projects or services;;Materials requirements planning, logistics and supply chain software",0.554;;0.489;;0.450,,,,12,,https://open.sap.com/courses/srm1-1
dr1-3,Basics of Design Research (Edition Q2/2018),Plan experiential learning activities;;Investigate personal characteristics or activities of individuals;;Design research studies to obtain scientific information;;Plan social sciences research;;Research industrial processes or operations;;Develop instructional materials;;Develop training materials;;Study scripts to determine project requirements;;Direct design or development activities;;Teach daily living skills or behaviours;;Analyse design requirements for computer or electronics systems,0.513;;0.496;;0.494;;0.489;;0.488;;0.483;;0.481;;0.467;;0.457;;0.454;;0.452,,,,5,,https://open.sap.com/courses/dr1-3
byd5,SAP Business ByDesign Project-Based Services,"Enterprise resource planning ERP software;;Identify information technology project resource requirements;;Direct organisational operations, projects or services;;Analyse project data to determine specifications or requirements;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Prepare project budgets;;Project management software;;Study scripts to determine project requirements;;Develop operating strategies, plans or procedures;;Business intelligence and data analysis software;;Facilities management software;;Develop detailed project plans;;Sales and marketing software;;Gather information in order to provide services to clients;;Enterprise system management software;;Manage operations, research or logistics projects;;Materials requirements planning, logistics and supply chain software;;Financial and commodities services software;;Negotiate project specifications;;Develop business or financial information systems;;Customer relationship management CRM software;;Establish business management methods",0.554;;0.541;;0.536;;0.521;;0.517;;0.512;;0.506;;0.490;;0.481;;0.481;;0.480;;0.473;;0.464;;0.464;;0.463;;0.460;;0.458;;0.455;;0.454;;0.453;;0.452;;0.450,,,,20,,https://open.sap.com/courses/byd5
cst2,Managing Java Systems on SAP NetWeaver ,Application server software,0.479,,,,12,,https://open.sap.com/courses/cst2
wwf1-tl,"Climate Change, Risks, and Challenges  (Short Track Version) ",Conduct climate research;;Instruct tertiary students in physical or life sciences;;Apply knowledge or research findings to address environmental problems;;Develop instructional materials,0.565;;0.477;;0.464;;0.458,,,,16,,https://open.sap.com/courses/wwf1-tl
git1,SAP Cloud Platform* Version Control with Git,,,,,,12,,https://open.sap.com/courses/git1
wtc1,Writing Testable Code for ABAP ,"Develop testing routines or procedures;;Software development and programming languages;;Study scripts to determine project requirements;;Devise research or testing protocols;;Construct patterns, templates or other work aids;;Conduct validation tests of equipment or processes",0.601;;0.477;;0.476;;0.473;;0.458;;0.455,,,,30,,https://open.sap.com/courses/wtc1
ifb1,In Action - Integration Framework for SAP Business One,Enterprise application integration software;;Enterprise resource planning ERP software;;Business intelligence and data analysis software;;Develop procedures for data management;;Enterprise system management software;;Develop procedures for data entry or processing;;Maintain data in information systems or databases;;Financial and commodities services software,0.581;;0.516;;0.499;;0.487;;0.482;;0.477;;0.459;;0.454,,,,16,,https://open.sap.com/courses/ifb1
byd4,SAP Business ByDesign Supply Chain Management,"Materials requirements planning, logistics and supply chain software;;Study product information to acquire professional knowledge;;Sales and marketing software;;Coordinate logistics or other business operations;;Research industrial processes or operations;;Enterprise resource planning ERP software;;Confer with customers or designers to determine order specifications;;Train customers in the use of products;;Coordinate resource procurement activities;;Inventory management software;;Coordinate activities with suppliers, contractors, clients, or other departments;;Financial and commodities services software;;Evaluate training programs, instructors or materials;;Business intelligence and data analysis software;;Maintain knowledge of business operations;;Develop operating strategies, plans or procedures;;Manage inventories of products or organisational resources;;Computer based training software;;Direct organisational operations, projects or services",0.611;;0.550;;0.526;;0.507;;0.498;;0.497;;0.491;;0.487;;0.474;;0.472;;0.468;;0.465;;0.464;;0.463;;0.462;;0.453;;0.453;;0.452;;0.451,,,,20,,https://open.sap.com/courses/byd4
sps3,Using SAP Screen Personas for Advanced Scenarios,"Develop training materials;;Enterprise resource planning ERP software;;Computer based training software;;Train others in computer interface or software use;;Evaluate training programs, instructors or materials;;Study scripts to determine project requirements;;Train others in operational procedures;;Business intelligence and data analysis software;;Human resources software;;Develop guidelines for system implementation;;Enterprise system management software;;Train staff on proper operational procedures;;Enterprise application integration software;;Identify information technology project resource requirements",0.550;;0.549;;0.547;;0.515;;0.502;;0.480;;0.475;;0.474;;0.472;;0.469;;0.464;;0.463;;0.456;;0.452,,,,20,,https://open.sap.com/courses/sps3
sbi2-1,Sustainability Through Digital Transformation (Repeat),"Develop sustainable organisational policies or practices;;Develop environmental sustainability plans or projects;;Develop sustainable industrial or development methods;;Develop operating strategies, plans or procedures for green or sustainable operations;;Manage environmental sustainability projects;;Research issues related to the environment or sustainable business practices;;Create technology-based learning materials;;Identify opportunities for green initiatives;;Promote environmental sustainability or conservation initiatives;;Present sustainable goods or services information to the public;;Evaluate environmental or sustainability projects;;Direct environmental development activities;;Apply information technology to solve business or other applied problems",0.594;;0.560;;0.538;;0.532;;0.524;;0.503;;0.496;;0.495;;0.493;;0.484;;0.459;;0.453;;0.450,,,,18,,https://open.sap.com/courses/sbi2-1
bmi1-1,Designing Business Models for the Digital Economy (Edition Q3/2017),Establish business management methods;;Develop business relationships;;Explain use of products or services,0.499;;0.472;;0.464,,,,24,,https://open.sap.com/courses/bmi1-1
ism1-tl,Information Security Management in a Nutshell,"Implement security measures for computer or information systems;;Develop computer or information security policies or procedures;;Maintain security;;Identify security threats and determine counter measures;;Manage organisational security activities;;Advise clients on security requirements and design security measures;;Train others in cyber security issues;;Monitor the security of digital information;;Direct security operations;;Analyse security of systems, network or data;;Develop procedures for data management;;Develop information communication procedures;;Apply information technology to solve business or other applied problems;;Transaction security and virus protection software;;Monitor operations to ensure compliance with safety or security policies or regulations;;Train staff in organisational or compliance procedures;;Maintain data in information systems or databases;;Supervise information technology staff;;Collaborate with others to resolve information technology issues",0.762;;0.693;;0.625;;0.615;;0.602;;0.601;;0.574;;0.568;;0.537;;0.528;;0.497;;0.497;;0.489;;0.483;;0.474;;0.468;;0.465;;0.457;;0.450,,,,16,,https://open.sap.com/courses/ism1-tl
hsesh1,Full-Text Search with SAP HANA Platform,"Prepare instruction manuals;;Develop training materials;;Study blueprints or other instructions to determine equipment setup requirements;;Enter commands, instructions, or specifications into equipment;;Install instrumentation or electronic equipment or systems;;Train others in operational procedures;;Direct installation activities;;Computer based training software;;Install electrical components, equipment or systems;;Business intelligence and data analysis software",0.544;;0.533;;0.523;;0.492;;0.489;;0.479;;0.473;;0.453;;0.452;;0.451,,,,20,,https://open.sap.com/courses/hsesh1
cst1,Managing ABAP Systems on SAP NetWeaver,Application server software,0.472,,,,12,,https://open.sap.com/courses/cst1
hsgs1,Spatial Analysis with SAP HANA Platform,"Develop surveying and land information systems;;Analyse physical, survey, or geographic data",0.484;;0.482,,,,18,,https://open.sap.com/courses/hsgs1
byd3,SAP Business ByDesign Financials,"Accounting software;;Financial and commodities services software;;Develop business or financial information systems;;Direct financial operations;;Business intelligence and data analysis software;;Enterprise resource planning ERP software;;Financial analysis software;;Sales and marketing software;;Determine operational methods;;Develop guidelines for system implementation;;Prepare financial documents, reports or budgets;;Analyse budgetary, accounting or business data;;Manage financial activities of the organisations;;Model operational processes;;Analyse business or financial data",0.512;;0.506;;0.496;;0.496;;0.495;;0.485;;0.465;;0.464;;0.464;;0.457;;0.456;;0.455;;0.455;;0.454;;0.451,,,,20,,https://open.sap.com/courses/byd3
bw4h1,SAP BW/4HANA in a Nutshell,Business intelligence and data analysis software,0.464,,,,30,,https://open.sap.com/courses/bw4h1
upnw2,Upgrade of Systems Based on SAP NetWeaver – Advanced Topics,Arrange maintenance activities;;Schedule equipment maintenance;;Provide technical support for software maintenance or use;;Perform manual service or maintenance tasks;;Direct facility maintenance or repair activities;;Direct maintenance or repair activities;;Perform basic equipment maintenance;;Maintain equipment or systems to ensure proper functioning;;Configuration management software;;Read technical information needed to perform maintenance or repairs;;Direct equipment maintenance or repair activities;;Maintain computer equipment or software;;Estimate maintenance service requirements or costs,0.593;;0.520;;0.515;;0.508;;0.498;;0.495;;0.491;;0.490;;0.474;;0.472;;0.467;;0.459;;0.452,,,,12,,https://open.sap.com/courses/upnw2
tsbe1-tl,Women: Build Outrageously Successful Businesses from Scratch,Develop financial or business plans;;Develop business relationships;;Establish business management methods,0.487;;0.484;;0.452,,,,16,,https://open.sap.com/courses/tsbe1-tl
ibcs1-tl,Semantic Notation – The Next Big Thing in BI?,"Prepare graphics or other visual representations of information;;Develop performance metrics or standards related to information technology;;Business intelligence and data analysis software;;Prepare operational reports;;Prepare analytical reports;;Calculate data to inform organisational operations;;Write operational reports;;Document technical design details;;Develop business or financial information systems;;Prepare technical or operational reports;;Document design or development procedures;;Gather organisational performance information;;Develop operating strategies, plans or procedures;;Analyse budgetary, accounting or business data;;Create graphical representations of industrial production systems;;Present business-related information;;Interpret blueprints, specifications or diagrams;;Apply information technology to solve business or other applied problems;;Measure effectiveness of business strategies or practices;;Analyse business or financial data;;Establish business management methods;;Prepare reports related to compliance matters;;Analyse financial records or reports to determine state of operations;;Analyse data to inform operational decisions or activities",0.576;;0.533;;0.527;;0.519;;0.517;;0.507;;0.505;;0.499;;0.494;;0.491;;0.479;;0.479;;0.476;;0.476;;0.470;;0.468;;0.468;;0.466;;0.466;;0.465;;0.464;;0.462;;0.458;;0.455,,,,24,,https://open.sap.com/courses/ibcs1-tl
db1,SAP Digital Boardroom in a Nutshell,Business intelligence and data analysis software;;Develop content for sales presentations or other materials;;Enterprise resource planning ERP software,0.516;;0.498;;0.462,,,,30,,https://open.sap.com/courses/db1
ui51,Developing Web Apps with SAPUI5,Software development and programming languages,0.485,,,,5,,https://open.sap.com/courses/ui51
hshd1,High Availability and Disaster Recovery with the SAP HANA Platform,Maintain data in information systems or databases,0.467,,,,18,,https://open.sap.com/courses/hshd1
upnw1,SAP NetWeaver Upgrades in a Nutshell,Update technical knowledge;;Provide technical support for software maintenance or use;;Train others in operational procedures,0.518;;0.483;;0.463,,,,16,,https://open.sap.com/courses/upnw1
sbi1-1,Sustainability and Business Innovation (Repeat),"Develop sustainable organisational policies or practices;;Develop environmental sustainability plans or projects;;Research issues related to the environment or sustainable business practices;;Develop operating strategies, plans or procedures for green or sustainable operations;;Promote environmental sustainability or conservation initiatives;;Develop sustainable industrial or development methods;;Manage environmental sustainability projects;;Identify opportunities for green initiatives;;Present sustainable goods or services information to the public;;Evaluate environmental or sustainability projects;;Develop marketing plans or strategies for environmental initiatives;;Apply information technology to solve business or other applied problems;;Direct environmental development activities;;Train employees on environmental awareness, conservation or safety topics;;Supervise workers performing environmentally sustainable activities;;Plan environmental research;;Business intelligence and data analysis software;;Maintain operational records for green energy processes or other environmentally sustainable activities",0.663;;0.638;;0.623;;0.616;;0.601;;0.576;;0.574;;0.571;;0.542;;0.526;;0.521;;0.510;;0.488;;0.477;;0.474;;0.454;;0.452;;0.450,,,,36,,https://open.sap.com/courses/sbi1-1
byd1,Application Development for SAP Business ByDesign,"Business intelligence and data analysis software;;Sales and marketing software;;Enterprise resource planning ERP software;;Construct patterns, templates or other work aids;;Financial and commodities services software;;Enterprise system management software;;Customer relationship management CRM software;;Accounting software;;Develop content for sales presentations or other materials",0.527;;0.522;;0.510;;0.481;;0.479;;0.479;;0.455;;0.454;;0.451,,,,36,,https://open.sap.com/courses/byd1
uxn2,Creating Business Value with User Experience,"Train customers in the use of products;;Develop guidelines for system implementation;;Create technology-based learning materials;;Develop content for sales presentations or other materials;;Sales and marketing software;;Collect data about customer needs;;Provide customer service to clients or users;;Train others in computer interface or software use;;Software development and programming languages;;Human resources software;;Develop artistic or design concepts for decoration, exhibition or commercial purposes",0.499;;0.481;;0.469;;0.468;;0.468;;0.466;;0.460;;0.460;;0.460;;0.459;;0.452,,,,21,,https://open.sap.com/courses/uxn2
dit1,Digital Transformation and Its Impact,Gather information in order to provide services to clients;;Sales and marketing software;;Advise clients on security requirements and design security measures;;Collect data about customer needs;;Business intelligence and data analysis software;;Customer relationship management CRM software;;Identify information technology project resource requirements;;Confer with clients to determine needs;;Financial and commodities services software;;Provide customer service to clients or users;;Apply information technology to solve business or other applied problems;;Discuss service options or needs with clients,0.528;;0.510;;0.503;;0.501;;0.499;;0.494;;0.485;;0.480;;0.475;;0.470;;0.467;;0.464,,,,16,,https://open.sap.com/courses/dit1
ogsd1,OGSD 7.0 – An Introduction to Oil & Gas Downstream Logistics,"Coordinate logistics or other business operations;;Materials requirements planning, logistics and supply chain software;;Coordinate operational activities;;Direct operational or production activities;;Financial and commodities services software;;Evaluate logistics methods to reduce environmental impact;;Direct passenger or freight transport activities;;Research industrial processes or operations;;Sales and marketing software;;Model operational processes;;Direct organisational operations, projects or services;;Direct technical activities or operations;;Resolve issues affecting transportation operations;;Schedule operational activities;;Inventory management software;;Maintain inventories of materials, equipment or products;;Analyse data to inform operational decisions or activities;;Service vehicles;;Arrange delivery of goods or services;;Manage inventories of products or organisational resources;;Calculate data to inform organisational operations;;Manage operations, research or logistics projects;;Maintain supply or equipment inventories;;Establish operational policies;;Maintain knowledge of business operations;;Schedule product or material transportation;;Develop diagrams or flow charts of system operation;;Identify opportunities to improve operational efficiency;;Drive trucks or truck-mounted equipment;;Business intelligence and data analysis software;;Manage food service operations;;Maintain operational records or records systems",0.616;;0.554;;0.521;;0.504;;0.500;;0.497;;0.492;;0.492;;0.490;;0.487;;0.486;;0.483;;0.483;;0.483;;0.478;;0.477;;0.476;;0.473;;0.472;;0.468;;0.466;;0.465;;0.464;;0.461;;0.461;;0.457;;0.456;;0.454;;0.453;;0.452;;0.451;;0.451,,,,24,,https://open.sap.com/courses/ogsd1
a4h1,ABAP Development for SAP HANA,Business intelligence and data analysis software;;Enterprise application integration software,0.486;;0.452,,,,24,,https://open.sap.com/courses/a4h1
hana-warmup,In-Memory Data Management In a Nutshell,Develop procedures for data management,0.477,,,,3,,https://open.sap.com/courses/hana-warmup
